CÓDIGO,NOMBRE,CREDITOS,TIPO
ECO098,QUIMICA ORGANICA,4,BÁSICA
ECO100,ECOLOGIA,4,BÁSICA
ECO101,ECONOMIA I,4,BÁSICA
ECO161,MICROECONOMIA,4,BÁSICA
ECO222,MACROECONOMIA,4,BÁSICA
ECO257,ECONOMIA DE LA EMPRESA,4,BÁSICA
ECO300,METODOS CUANTITATIVOS PARA ECONOMIA,4,BÁSICA
ECO301,COMPORTAMIENTO ORGANIZACIONAL,4,BÁSICA
ECO305,MONEDA Y BANCA,4,BÁSICA
ECO312,MERCADO COMUN EUROPEO,4,BÁSICA
ECO322,ANALISIS DEL ENTORNO ECONOMICO Y POLITIO,4,BÁSICA
ECO410,INTERNATIONAL ECONOMIC DEVELOPMENT,4,BÁSICA
EDU040,PRE-TÉCNICAS DE ESTUDIO,4,BÁSICA
EMK100,MARKETING DE SERVICIOS APLICADO AL TURISMO,4,ESPECIALIZACIÓN
ETU101,ECODISEÑO Y ARQUITECTURA DE BAJO IMPACTO,4,ESPECIALIZACIÓN
ETU102,EVALUACIÓN DE IMPACTO AMBIENTAL,4,ESPECIALIZACIÓN
EXP010,PRE- EXPRESION ORAL Y ESCRITA   # 1,1,BÁSICA
EXP011,EXPRESION ORAL Y ESCRITA #2,1,BÁSICA
EYG101,PLANIFICACION DE EXCURSIONES,4,ESPECIALIZACIÓN
EYG102,E,4,BÁSICA
FIN120,MATEMATICAS FINANCIERAS,4,BÁSICA
FIN151,MATEMATICAS FINANCIERA II,4,BÁSICA
FIN211,ADMINISTRACION FINANCIERA I,4,BÁSICA
FIN212,ANALISIS FINANCIERO,4,ESPECIALIZACIÓN
FIN218,OPERACIONES BANCARIAS,4,BÁSICA
FIN219,PRESUPUESTO,4,BÁSICA
FIN220,MATEMATICAS FINANCIERA,4,BÁSICA
FIN226,ESTRUCTURA ECONOMICA Y FINANCIERA,4,BÁSICA
FIN227,ELEMENTOS DE AUDITORIA,4,BÁSICA
FIN228,CREDITO I,4,BÁSICA
FIN229,ADMINSTRACION DE CREDITO,4,BÁSICA
FIN230,ADM. HACIENDAS Y EMP. AGRICOLAS,4,ESPECIALIZACIÓN
FIN238,ANALISIS FINANCIERO,4,BÁSICA
FIN248,FINANZAS Y TESORERIA,4,BÁSICA
FIN252,ADMINISTRACION FINANCIERA II,4,BÁSICA
FIN255,LEGISLACION FINANCIERA,4,BÁSICA
FIN256,CÓDIGO DE COMERCIO,4,ESPECIALIZACIÓN
FIN257,LEY DE COMPAÑIA,4,ESPECIALIZACIÓN
FIN258,PROMOCION BANCARIA,4,BÁSICA
FIN259,CÓDIGO TRIBUTARIO,4,ESPECIALIZACIÓN
FIN261,FUNDAMENTOS ADMINISTRATIVO FNANCIEROS,4,BÁSICA
FIN267,INTRODUCCION A LA AUDITORIA,4,ESPECIALIZACIÓN
FIN268,AUDITORIA,4,BÁSICA
FIN269,AUDITORIA II,4,ESPECIALIZACIÓN
FIN270,AUDITORIA III,4,ESPECIALIZACIÓN
FIN271,AUDITORIA DE SISTEMAS,4,ESPECIALIZACIÓN
FIN272,AUDITORIA DE SISTEMAS II,4,BÁSICA
FIN273,AUDITORIA DE SISTEMAS III,4,ESPECIALIZACIÓN
FIN275,AUDITORIA DE MEDIO AMBIENTE,4,ESPECIALIZACIÓN
FIN278,MERCADO DE VALORES,4,BÁSICA
FIN301,INGLES,4,BÁSICA
FIN310,FINANZAS CORPORATIVAS,4,BÁSICA
FIN311,FINANZAS INTERNACIONALES,4,BÁSICA
FIN315,OPERACIONES DE SEGUROS,4,BÁSICA
FIN335,INSTITUCIONES DEL SISTEMA FINANCIERO Y DE MERCADO,4,BÁSICA
FIN352,FINANZAS INTERNACIONALES,4,BÁSICA
FIN355,GERENCIA FINANCIERA EN TURISMO,4,BÁSICA
FIN361,ADMINISTRACION DE PRESUPUESTO,4,BÁSICA
FIN363,ELABORACION DE PRESUPUESTO DE VENTAS,5,BÁSICA
FIN392,ANALISIS DE PORTAFOLIO DE INVERSION,4,BÁSICA
FIN394,IDENT.& EVAL. DE RIESGOS EMPRES,4,ESPECIALIZACIÓN
FIN395,ADMINISTRACION Y CONTROL DE RIESGO,4,BÁSICA
FOL100,BAILES FOLKLORICOS,4,TALLER
FOL120,FOLKLORE,4,BÁSICA
FRA101,IDIOMA FRANCES APLICADO,4,ESPECIALIZACIÓN
